base_word,pos_kr,pos_tag,level,homonym
지하철역,명사,Noun,1,False
직업,명사,Noun,1,False
직원,명사,Noun,1,False
질문,명사,Noun,1,False
집,명사,Noun,1,False
짜다,형용사,Adjective,1,False
쪽,의존명사,Noun,1,False
찍다,동사,Verb,1,False
참,부사,Adverb,1,False
참외,명사,Noun,1,False
창문,명사,Noun,1,False
찾다,동사,Verb,1,False
찾아보다,동사,Verb,1,False
책,명사,Noun,1,False
책상,명사,Noun,1,False
처음,명사,Noun,1,False
천,관형사,Determiner,1,False
천,수사,Noun,1,False
천만,관형사,Determiner,1,False
천만,수사,Noun,1,True
천만,명사,Noun,1,True
천천히,부사,Adverb,1,False
청소,명사,Noun,1,False
초대,명사,Noun,1,False
초콜릿,명사,Noun,1,False
추다,동사,Verb,1,False
축구,명사,Noun,1,False
축하,명사,Noun,1,False
출발,명사,Noun,1,False
춤,명사,Noun,1,False
춤추다,동사,Verb,1,False
춥다,형용사,Adjective,1,False
취미,명사,Noun,1,False
층,명사,Noun,1,False
치다,동사,Verb,1,False
치마,명사,Noun,1,False
친구,명사,Noun,1,False
친절,명사,Noun,1,False
친하다,형용사,Adjective,1,False
칠,관형사,Determiner,1,False
칠,수사,Noun,1,False
칠십,관형사,Determiner,1,False
칠십,수사,Noun,1,False
칠월,명사,Noun,1,False
칠판,명사,Noun,1,False
침대,명사,Noun,1,False
카드,명사,Noun,1,False
카메라,명사,Noun,1,False
캐나다,명사,Noun,1,False
커피,명사,Noun,1,False
커피숍,명사,Noun,1,False
컴퓨터,명사,Noun,1,False
컵,명사,Noun,1,False
케이크,명사,Noun,1,False
켜다,동사,Verb,1,False
코,명사,Noun,1,False
콘서트,명사,Noun,1,False
콜라,명사,Noun,1,False
크다,형용사,Adjective,1,False
크다,동사,Verb,1,False
키,명사,Noun,1,False
타다,동사,Verb,1,True
타다,동사,Verb,1,True
탁구,명사,Noun,1,False
태국,명사,Noun,1,False
태권도,명사,Noun,1,False
택시,명사,Noun,1,False
터미널,명사,Noun,1,False
테니스,명사,Noun,1,False
텔레비전,명사,Noun,1,False
토요일,명사,Noun,1,False
